# OGLE EWS map.dat file for OGLE-2024-BLG-0223
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
158135 1620.34 4264.10 21.132  3.875 17.257  56   0 0.176 2110   3 0.022
158138 1573.69 4267.98 21.008  3.703 17.305  57   0 0.197 2061   2 0.024
158140 1647.60 4268.31 20.822  2.823 17.999  53   1 0.134 2060   2 0.042
158143 1610.95 4272.60 20.909  3.627 17.282  55   1 0.133 2019   3 0.023
158146 1560.90 4275.38 20.971  3.238 17.733  52   1 0.150 1969   3 0.032
158147 1552.33 4277.11 20.849  3.625 17.224  53   1 0.137 1941   1 0.021
158148 1589.73 4278.87 20.352  2.522 17.829  52   1 0.092 1913   3 0.036
158159 1585.34 4293.74 21.505  3.848 17.657  43   0 0.312 1620   0 0.036
158171 1578.25 4302.65 99.999  9.999 17.827   0   0 9.999 1338   2 0.052
158173 1600.08 4307.86 99.999  9.999 17.699   0   0 9.999 1222   6 0.050
158180 1561.41 4314.88 19.649  1.832 17.817  35   0 0.077 1004   5 0.059
158183 1571.08 4319.51 99.999  9.999 17.634   0   0 9.999  895   6 0.100
158184 1588.38 4324.72 99.999  9.999 99.999   0   0 9.999    0   0 9.999
158185 1612.57 4322.51 99.999  9.999 17.026   0   0 9.999  816   9 0.090
158196 1554.00 4328.20 99.999  9.999 99.999   0   0 9.999    0   0 9.999
158205 1577.24 4292.79 99.999  9.999 18.279   0   0 9.999 1635   1 0.058
158207 1539.61 4216.48 99.999  9.999 18.291   0   0 9.999 2616   1 0.083
158210 1586.87 3987.27 19.398  1.896 17.502  74   1 0.043 2892   9 0.033
158223 1647.37 4186.26 99.999  9.999 18.271   0   0 9.999 2715   2 0.054
158275 1585.66 3970.46 21.208  2.510 18.697  74   1 0.185 2885   8 0.101
158282 1631.08 3974.25 99.999  9.999 18.502   0   0 9.999 2895   2 0.057
158285 1600.99 3975.00 99.999  9.999 18.596   0   0 9.999 2895   1 0.118
158286 1586.11 3976.85 21.835  3.331 18.504  73   0 0.419 2883   6 0.108
158303 1646.62 3990.41 99.999  9.999 19.014   0   0 9.999 2871   0 0.218
158307 1580.06 3992.50 99.999  9.999 18.694   0   0 9.999 2890   3 0.076
158315 1566.36 4003.94 21.164  1.960 19.204  76   0 0.226 2874   5 0.178
158316 1577.27 4004.05 99.999  9.999 18.232   0   0 9.999 2901   1 0.105
158317 1582.85 4003.37 99.999  9.999 18.640   0   0 9.999 2892   4 0.077
158319 1636.77 4003.96 99.999  9.999 18.863   0   0 9.999 2890   1 0.079
158324 1619.93 4010.39 21.823  3.387 18.436  74   0 0.331 2896   1 0.058
158331 1638.07 4015.27 20.637  2.016 18.621  74   0 0.128 2894   2 0.063
158337 1576.29 4018.18 21.907  3.317 18.590  72   0 0.389 2891   4 0.070
158338 1583.64 4019.79 22.019  3.816 18.202  68   0 0.371 2895   2 0.045
158340 1606.08 4018.93 99.999  9.999 18.622   0   0 9.999 2885   4 0.062
158345 1570.68 4018.79 99.999  9.999 18.945   0   0 9.999 2888   5 0.151
