# OGLE EWS map.dat file for OGLE-2024-BLG-0475
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
  4470  278.35 1098.29 99.999  9.999 19.619   0   0 9.999  345   0 0.162
  4471  301.46 1098.62 99.999  9.999 19.590   0   0 9.999  341   1 0.123
  4472  412.78 1098.90 99.999  9.999 19.529   0   0 9.999  341   1 0.115
  4473  532.20 1099.21 21.310  2.320 18.990  23   0 0.208  344   1 0.100
  4475  374.10 1100.29 21.738  2.594 19.144  22   0 0.157  344   0 0.089
  4476  214.27 1100.48 99.999  9.999 19.908   0   0 9.999  332   0 0.254
  4477  459.15 1100.59 21.886  2.565 19.320  23   0 0.289  344   0 0.109
  4478  256.21 1101.66 22.065  2.877 19.188  22   0 0.282  341   1 0.093
  4479  270.67 1101.52 21.987  2.638 19.349  19   0 0.266  344   0 0.112
  4480  143.34 1103.18 21.693  2.626 19.066  21   0 0.177  298   0 0.077
  4482  392.59 1104.99 99.999  9.999 19.529   0   0 9.999  345   0 0.107
  4483  446.53 1104.40 22.114  2.767 19.347  22   0 0.298  345   0 0.119
  4485  199.50 1105.96 99.999  9.999 19.235   0   0 9.999  336   0 0.171
  4486  492.26 1110.11 21.604  2.477 19.127  22   0 0.244  345   1 0.100
  4488  216.43 1107.65 22.226  2.782 19.444  22   0 0.422  334   2 0.128
  4489  129.38 1107.13 99.999  9.999 19.901   0   0 9.999  274   0 0.182
  4490  354.77 1109.70 22.113  2.661 19.452  22   0 0.358  343   0 0.117
  4491  379.16 1108.37 99.999  9.999 19.424   0   0 9.999  343   1 0.108
  4493  277.69 1111.24 21.480  2.493 18.988  21   0 0.189  342   1 0.071
  4494  406.14 1111.09 21.458  2.292 19.167  22   0 0.204  343   1 0.088
  4495  206.52 1111.05 99.999  9.999 19.725   0   0 9.999  330   0 0.215
  4496  499.58 1110.93 99.999  9.999 19.759   0   0 9.999  343   0 0.164
  4497  271.28 1112.41 22.229  2.725 19.504  21   0 0.391  337   2 0.122
  4498  293.04 1113.76 21.443  2.546 18.896  21   0 0.235  343   0 0.073
  4499  480.82 1113.54 21.467  2.383 19.084  21   0 0.164  341   1 0.135
  4500  235.68 1114.36 99.999  9.999 19.276   0   0 9.999  340   2 0.096
  4501  281.51 1113.16 99.999  9.999 19.714   0   0 9.999  344   0 0.147
  4502  402.05 1113.04 99.999  9.999 19.624   0   0 9.999  345   0 0.124
  4503  409.31 1113.60 99.999  9.999 19.528   0   0 9.999  344   0 0.118
  4505  327.85 1116.28 21.667  2.439 19.228  22   0 0.240  342   1 0.091
  4506  379.01 1114.18 99.999  9.999 19.561   0   0 9.999  341   1 0.124
  4507  298.03 1115.48 21.866  2.471 19.395  21   0 0.273  342   0 0.107
  4508  352.92 1114.54 99.999  9.999 19.888   0   0 9.999  344   0 0.161
  4509  467.51 1115.65 99.999  9.999 19.528   0   0 9.999  344   0 0.151
  4510  503.87 1114.75 99.999  9.999 20.029   0   0 9.999  342   0 0.207
  4511  179.49 1117.82 99.999  9.999 19.604   0   0 9.999  324   1 0.143
  4512  283.88 1118.59 99.999  9.999 19.771   0   0 9.999  342   0 0.156
  4514  197.14 1118.82 99.999  9.999 19.874   0   0 9.999  333   1 0.241
  4515  413.99 1122.86 99.999  9.999 19.022   0   0 9.999  348   0 0.103
  4516  421.15 1123.30 99.999  9.999 19.778   0   0 9.999  340   0 0.164
  4517  482.51 1060.24 99.999  9.999 19.890   0   0 9.999  339   2 0.194
  4521  513.78 1087.46 99.999  9.999 19.571   0   0 9.999  343   0 0.136
  4522  428.92 1120.76 99.999  9.999 19.589   0   0 9.999  344   0 0.135
  4539  270.57 1061.95 99.999  9.999 19.235   0   0 9.999  342   1 0.101
  4540  533.68 1076.06 99.999  9.999 19.990   0   0 9.999  342   0 0.216
  4541  362.79 1091.97 99.999  9.999 20.701   0   0 9.999  333   1 0.334
  6001  344.03 1057.02 22.024  2.435 19.589  21   0 0.321  341   0 0.118
  6004  237.33 1057.41 99.999  9.999 20.334   0   0 9.999  338   0 0.248
  6005  133.85 1058.64 99.999  9.999 19.657   0   0 9.999  280   0 0.142
  6008  432.27 1059.02 99.999  9.999 19.757   0   0 9.999  345   0 0.155
  6009  537.23 1059.47 99.999  9.999 19.843   0   0 9.999  343   0 0.210
  6010  544.82 1061.24 99.999  9.999 20.155   0   0 9.999  339   0 0.287
  6011  392.33 1060.24 99.999  9.999 20.613   0   0 9.999  332   0 0.308
  6012  524.54 1060.21 99.999  9.999 20.126   0   0 9.999  339   2 0.228
  6014  218.48 1061.90 99.999  9.999 19.590   0   0 9.999  337   0 0.130
  6015  497.73 1058.90 99.999  9.999 20.615   0   0 9.999  335   0 0.388
  6016  506.91 1061.88 99.999  9.999 20.526   0   0 9.999  338   0 0.352
  6019  196.68 1061.67 99.999  9.999 20.169   0   0 9.999  331   0 0.252
